incident_id,date,time,province,district,road_type,latitude,longitude,weather,visibility_meters,temperature_c,wind_speed_kmh,lighting,road_condition,surface_material,number_of_lanes,speed_limit_kmh,road_curvature,road_gradient,median_type,shoulder_available,num_vehicles,vehicle_types,vehicle_avg_age_years,overloading_detected,driver_age,helmet_usage,seatbelt_usage,mobile_phone_suspected,alcohol_drug_suspected,speed_at_impact_kmh,evasive_action,accident_cause,collision_type,impact_point,num_collisions,traffic_volume_per_hour,peak_off_peak,distance_to_hospital_km,expected_response_min,fatalities,serious_injuries,minor_injuries,property_damage_level,severity
PK-2024-00019,2024-08-22,12:56,Punjab,Multan,Residential,30.1848,72.9922,Clear,234,39.0,7.6,Tunnel,Dry,Asphalt,2,30,Straight,Flat,Painted,Yes,2,Car;Motorcycle,14.6,No,41,Yes,No,Yes,No,50,Braking,Weather,Side-swipe,Front,1,1572,Off-peak,27.8,35.6,0,0,2,None,Low
PK-2024-00020,2024-06-14,11:51,Islamabad,Islamabad,Highway,33.2394,71.5571,Clear,273,35.1,4.1,Daylight,Dry,Dirt,3,50,Straight,Flat,Physical,Yes,3,Car;Bus;Motorcycle,17.4,No,41,No,Not Applicable,No,Unknown,55,Swerving,Mobile Phone,Rear-end,Rear,1,1608,Off-peak,2.6,9.2,0,0,1,None,Low
PK-2024-00021,2024-11-20,07:44,Punjab,Sialkot,Rural,31.5329,74.1773,Cloudy,81,30.3,28.0,Dawn-Dusk,Potholed,Asphalt,6,30,Straight,Uphill,Physical,Yes,1,Bicycle,12.5,Yes,37,Partial,No,No,No,25,Swerving,Speeding,Rollover,Rear,1,1211,Peak,43.0,57.7,1,2,3,Severe,Critical
PK-2024-00022,2024-10-05,10:55,Sindh,Hyderabad,Residential,25.1314,68.6579,Clear,144,41.4,4.2,Unlit,Wet,Asphalt,2,120,Straight,Downhill,Physical,No,2,Motorcycle;Auto-rickshaw,18.4,No,16,No,Not Applicable,No,No,135,None,Mechanical Failure,Side-swipe,Front,2,1737,Off-peak,0.7,11.5,0,3,4,Severe,High
PK-2024-00023,2024-08-09,08:36,Balochistan,Khuzdar,Urban,30.4537,67.9471,Rain,372,28.2,20.0,Street-lit,Potholed,Dirt,2,40,Gentle,Flat,Physical,Yes,3,Motorcycle;Bicycle;Motorcycle,3.8,No,36,Yes,Yes,No,No,45,Braking,Signal Violation,Side-swipe,Roof,2,1016,Peak,26.6,37.6,0,0,0,None,Low
PK-2024-00024,2024-05-04,22:18,Islamabad,Islamabad,Highway,32.6838,74.3201,Rain,1057,22.3,7.8,Daylight,Muddy,Concrete,4,60,Gentle,Flat,Physical,Yes,3,Motorcycle;Car;Car,15.7,No,54,Partial,Yes,No,No,60,None,Speeding,Side-swipe,Side,1,1434,Off-peak,8.9,10.1,0,1,1,Moderate,Medium
PK-2024-00025,2024-10-08,11:27,Balochistan,Quetta,Urban,28.1359,67.7713,Rain,62,26.1,15.2,Street-lit,Dry,Asphalt,3,50,Hairpin,Flat,None,Yes,2,Motorcycle;Motorcycle,18.5,No,40,No,No,No,No,90,None,Mechanical Failure,Side-swipe,Front,3,715,Peak,5.4,12.7,2,4,3,Severe,Critical
PK-2024-00026,2024-10-01,13:59,Punjab,Gujranwala,Rural,31.0268,74.7213,Clear,287,40.5,10.3,Daylight,Wet,Asphalt,2,80,Straight,Uphill,Physical,No,2,Truck;Car,10.5,No,16,Yes,Partial,No,No,85,None,Mechanical Failure,Multi-vehicle pileup,Side,2,639,Off-peak,18.4,29.4,0,2,4,Severe,High
PK-2024-00027,2024-08-20,09:27,Punjab,Faisalabad,Urban,30.8318,74.8078,Clear,376,33.9,4.4,Daylight,Potholed,Concrete,4,110,Gentle,Flat,Physical,Yes,2,Truck;Motorcycle,7.0,Yes,42,No,Not Applicable,No,No,125,None,Human Error,Rear-end,Side,1,1953,Peak,25.1,38.1,0,2,4,Severe,High
PK-2024-00028,2024-11-16,16:29,Balochistan,Gwadar,Urban,30.2987,67.9425,Rain,186,28.2,5.2,Daylight,Dry,Dirt,4,100,Sharp,Downhill,None,No,2,Car;Motorcycle,13.6,No,36,No,No,No,No,120,Braking,Signal Violation,Rear-end,Rear,2,319,Off-peak,3.0,17.0,0,2,3,Severe,High
PK-2024-00029,2024-02-07,06:28,Punjab,Sargodha,Rural,29.6584,72.0016,Heavy Rain,1215,39.1,1.4,Daylight,Muddy,Asphalt,3,120,Straight,Uphill,Painted,No,5,Car;Motorcycle;Truck;Bicycle;Motorcycle,10.3,No,42,No,No,No,No,140,Swerving,Speeding,Fixed-object,Rear,1,1791,Peak,6.8,10.2,2,2,1,Severe,Critical
PK-2024-00030,2024-02-01,08:39,Punjab,Sargodha,Rural,30.0769,72.6624,Fog,519,30.9,12.6,Daylight,Dry,Gravel,2,80,Sharp,Uphill,None,Yes,2,Truck;Car,15.5,No,16,Yes,Yes,No,No,75,Braking,Speeding,Pedestrian,Front,3,317,Off-peak,37.7,42.9,0,1,4,Moderate,High
PK-2024-00031,2024-04-01,13:44,Sindh,Nawabshah,Rural,24.621,67.7682,Fog,298,20.2,20.8,Unlit,Dry,Asphalt,4,100,Gentle,Flat,Physical,Yes,3,Car;Motorcycle;Car,7.7,No,25,Yes,Yes,No,No,110,Braking,Overloading,Side-swipe,Side,3,165,Peak,5.1,8.0,0,3,3,Severe,High
PK-2024-00032,2024-08-25,04:19,Punjab,Gujranwala,Highway,30.4633,72.5796,Cloudy,643,30.7,15.2,Daylight,Wet,Asphalt,1,40,Gentle,Flat,None,No,2,Car;Motorcycle,17.3,No,50,No,Not Applicable,Yes,No,40,None,Human Error,Fixed-object,Front,3,1022,Off-peak,15.8,24.1,0,0,2,None,Low
PK-2024-00033,2024-11-17,08:40,Punjab,Bahawalpur,Rural,29.5796,74.2304,Cloudy,70,30.2,0.4,Unlit,Flooding,Dirt,2,80,Straight,Flat,Painted,Yes,3,Motorcycle;Motorcycle;Car,3.7,No,46,Yes,Yes,No,No,80,None,Drunk Driving,Side-swipe,Side,1,1893,Peak,4.8,11.8,0,2,4,Severe,High
PK-2024-00034,2024-03-14,10:00,Balochistan,Gwadar,Urban,27.9902,67.005,Fog,159,28.4,3.3,Daylight,Muddy,Asphalt,2,60,Gentle,Flat,Physical,No,5,Bicycle;Auto-rickshaw;Motorcycle;Car;Auto-rickshaw,8.7,Yes,42,No,No,No,No,65,Braking,Wrong Side,Head-on,Rear,2,604,Peak,14.1,25.4,3,3,1,Severe,Critical
PK-2024-00035,2024-08-17,11:57,Punjab,Bahawalpur,Highway,30.835,72.1894,Clear,122,27.0,16.2,Daylight,Dry,Asphalt,6,40,Straight,Downhill,Painted,No,3,Auto-rickshaw;Car;Car,9.8,Yes,28,Partial,Not Applicable,Yes,No,40,None,Signal Violation,Multi-vehicle pileup,Rear,1,166,Off-peak,25.4,34.8,0,0,2,Minor,Low
PK-2024-00036,2024-07-23,04:30,Islamabad,Islamabad,Urban,35.1316,72.2091,Haze,76,44.9,4.5,Daylight,Muddy,Concrete,2,100,Sharp,Downhill,None,No,2,Car;Auto-rickshaw,19.5,No,16,No,No,No,No,95,Braking,Mechanical Failure,Side-swipe,Roof,2,118,Peak,4.7,12.3,2,4,3,Severe,Critical
PK-2024-00037,2024-12-02,03:11,Punjab,Rawalpindi,Highway,32.4844,73.4588,Rain,28,16.9,6.9,Dawn-Dusk,Wet,Concrete,4,50,Straight,Downhill,Painted,No,1,Motorcycle,9.9,No,35,No,No,No,No,65,None,Wrong Side,Rear-end,Rear,1,1876,Peak,8.7,14.1,0,2,4,Severe,High
PK-2024-00038,2024-06-21,14:14,Sindh,Nawabshah,Highway,26.8681,66.9633,Rain,338,11.9,43.8,Daylight,Icy,Asphalt,3,100,Sharp,Flat,Physical,No,2,Car;Auto-rickshaw,13.4,No,39,No,Not Applicable,No,No,120,Swerving,Mechanical Failure,Side-swipe,Front,2,305,Peak,12.5,26.3,0,2,4,Severe,High
PK-2024-00039,2024-04-15,04:52,Punjab,Faisalabad,Urban,30.9938,73.929,Fog,406,14.0,4.4,Unlit,Dry,Asphalt,2,60,Gentle,Flat,Physical,Yes,3,Motorcycle;Car;Bus,15.5,No,20,No,Yes,No,No,65,Braking,Speeding,Fixed-object,Front,1,305,Peak,18.1,24.6,0,1,2,Minor,Medium
PK-2024-00040,2024-12-13,21:49,Balochistan,Khuzdar,Rural,28.0264,67.436,Fog,1470,27.1,8.6,Street-lit,Dry,Asphalt,3,100,Gentle,Flat,Painted,Yes,2,Motorcycle;Bus,17.3,No,53,Partial,Yes,No,No,110,None,Speeding,Side-swipe,Front,1,430,Peak,11.8,17.0,0,0,1,Minor,Medium
PK-2024-00041,2024-10-04,07:40,Punjab,Sargodha,Residential,30.7101,74.77,Fog,509,28.6,12.0,Daylight,Dry,Dirt,4,100,Straight,Flat,Painted,Yes,2,Bus;Motorcycle,2.1,No,16,Yes,Yes,No,No,95,Braking,Mechanical Failure,Rear-end,Front,1,849,Off-peak,19.7,30.0,0,0,2,Minor,Medium
PK-2024-00042,2024-09-28,02:24,Punjab,Sargodha,Rural,31.6851,73.3237,Clear,331,31.2,1.0,Daylight,Wet,Asphalt,2,50,Sharp,Downhill,None,Yes,2,Auto-rickshaw;Car,6.0,No,38,Yes,Yes,No,No,50,None,Overloading,Pedestrian,Front,1,1741,Peak,9.7,19.9,0,0,1,Minor,Low
PK-2024-00043,2024-12-21,01:49,Balochistan,Gwadar,Urban,29.8106,66.0106,Fog,1500,29.3,9.9,Daylight,Dry,Asphalt,4,110,Gentle,Uphill,Painted,Yes,2,Truck;Truck,11.4,No,39,Partial,Partial,No,Unknown,115,Swerving,Weather,Multi-vehicle pileup,Front,1,1757,Peak,12.7,21.6,0,2,2,Severe,High
PK-2024-00044,2024-08-27,00:27,Sindh,Hyderabad,Rural,24.4231,69.417,Heavy Rain,33,28.7,39.2,Street-lit,Wet,Asphalt,4,30,Straight,Downhill,Physical,Yes,3,Motorcycle;Auto-rickshaw;Truck,17.9,No,39,No,Yes,No,Yes,70,None,Human Error,Fixed-object,Side,1,926,Off-peak,11.1,20.2,3,2,3,Total,Critical
PK-2024-00045,2024-10-10,19:10,Balochistan,Quetta,Residential,29.2065,65.8695,Clear,482,37.1,36.4,Daylight,Dry,Asphalt,3,100,Hairpin,Flat,Physical,No,3,Auto-rickshaw;Car;Car,14.8,No,45,No,Yes,No,No,100,Braking,Overloading,Rear-end,Side,2,201,Off-peak,17.4,23.9,0,2,2,Moderate,Medium
PK-2024-00046,2024-08-05,14:55,Sindh,Hyderabad,Rural,24.0017,67.7958,Heavy Rain,435,17.3,2.1,Unlit,Potholed,Asphalt,2,80,Straight,Flat,Physical,Yes,2,Bus;Car,15.7,No,55,No,Not Applicable,No,No,90,None,Signal Violation,Side-swipe,Side,3,1012,Off-peak,7.8,9.4,1,3,2,Total,Critical
PK-2024-00047,2024-09-01,05:34,KPK,Peshawar,Rural,32.9626,71.6418,Clear,227,36.9,37.8,Tunnel,Dry,Concrete,2,110,Straight,Uphill,Painted,No,2,Truck;Bus,20.0,No,38,Yes,Yes,No,Unknown,150,Swerving,Human Error,Pedestrian,Roof,1,1080,Off-peak,31.2,42.6,0,2,2,Moderate,High
PK-2024-00048,2024-07-12,09:40,Sindh,Karachi,Rural,26.1745,68.2983,Cloudy,206,27.0,3.2,Daylight,Dry,Asphalt,3,30,Sharp,Flat,Physical,No,2,Motorcycle;Truck,7.0,Yes,40,No,Yes,No,No,40,Swerving,Wrong Side,Head-on,Rear,2,71,Peak,2.6,6.5,0,1,3,Moderate,Medium
PK-2024-00049,2024-09-16,07:55,Islamabad,Islamabad,Urban,32.4345,74.0494,Cloudy,914,26.2,34.7,Daylight,Dry,Asphalt,3,100,Gentle,Flat,Painted,No,3,Truck;Motorcycle;Car,12.9,No,31,Yes,No,No,No,120,None,Speeding,Multi-vehicle pileup,Front,3,1906,Peak,45.1,60.7,1,3,3,Total,Critical
PK-2024-00050,2024-06-12,15:34,Sindh,Sukkur,Rural,24.8554,67.5051,Clear,417,22.7,3.8,Unlit,Dry,Concrete,6,80,Sharp,Flat,Painted,Yes,2,Motorcycle;Motorcycle,10.4,No,50,Yes,Not Applicable,No,No,80,Swerving,Drunk Driving,Rear-end,Side,3,343,Peak,7.1,13.7,0,1,1,Moderate,Medium
PK-2024-00051,2024-07-01,10:48,Balochistan,Khuzdar,Rural,30.3272,65.0668,Heavy Rain,390,23.9,12.9,Daylight,Flooding,Asphalt,2,40,Straight,Flat,Painted,Yes,2,Car;Car,7.0,Yes,55,Yes,Partial,Yes,Yes,40,Swerving,Wrong Side,Fixed-object,Front,1,1207,Peak,1.0,7.3,0,2,1,Moderate,Medium
PK-2024-00052,2024-11-08,18:47,Sindh,Nawabshah,Rural,25.5922,69.4296,Rain,503,18.2,1.8,Tunnel,Icy,Asphalt,6,30,Straight,Uphill,Physical,Yes,2,Bus;Motorcycle,10.6,No,42,Yes,Yes,No,No,40,Braking,Wrong Side,Multi-vehicle pileup,Side,3,554,Off-peak,17.0,26.0,0,0,2,Moderate,Medium
PK-2024-00053,2024-04-12,09:33,Punjab,Sialkot,Highway,30.2937,72.1187,Heavy Rain,297,28.6,20.9,Daylight,Potholed,Asphalt,2,110,Straight,Flat,Painted,Yes,3,Motorcycle;Auto-rickshaw;Motorcycle,2.7,No,48,Yes,Partial,No,No,140,Swerving,Mechanical Failure,Fixed-object,Roof,1,367,Off-peak,0.6,7.3,3,2,1,Total,Critical
PK-2024-00054,2024-05-08,19:01,Punjab,Faisalabad,Urban,30.7425,72.1274,Clear,453,41.2,42.0,Daylight,Wet,Asphalt,2,100,Straight,Flat,Physical,Yes,5,Auto-rickshaw;Car;Car;Motorcycle;Bus,15.8,No,36,No,Not Applicable,No,No,130,Braking,Mobile Phone,Fixed-object,Front,2,116,Off-peak,4.5,11.1,0,0,2,Moderate,Medium
PK-2024-00055,2024-04-24,10:02,Punjab,Multan,Urban,31.4888,72.356,Clear,539,37.5,1.7,Dawn-Dusk,Wet,Asphalt,2,50,Gentle,Flat,Physical,Yes,3,Car;Bus;Motorcycle,19.5,No,38,No,Yes,No,No,70,Swerving,Speeding,Multi-vehicle pileup,Front,1,1456,Peak,1.9,7.1,0,1,2,Moderate,Medium
PK-2024-00056,2024-11-08,04:15,Islamabad,Islamabad,Residential,33.1605,72.605,Rain,34,22.0,22.0,Unlit,Wet,Asphalt,2,110,Straight,Downhill,Painted,No,1,Motorcycle,18.7,No,27,Yes,No,No,No,140,Braking,Human Error,Head-on,Front,2,711,Off-peak,33.3,44.6,3,3,3,Total,Critical
PK-2024-00057,2024-11-02,11:22,Sindh,Hyderabad,Urban,24.6488,69.081,Clear,161,23.6,42.0,Street-lit,Dry,Asphalt,4,50,Gentle,Flat,Physical,Yes,3,Bicycle;Car;Auto-rickshaw,16.3,Yes,29,No,Not Applicable,No,No,60,Braking,Mechanical Failure,Side-swipe,Rear,2,1276,Off-peak,0.5,6.1,0,0,0,Minor,Low
PK-2024-00058,2024-06-26,08:42,Sindh,Sukkur,Highway,26.2922,67.9889,Clear,491,28.4,4.1,Daylight,Flooding,Gravel,3,50,Straight,Flat,None,No,2,Motorcycle;Truck,2.8,Yes,48,Partial,Not Applicable,No,No,55,Braking,Weather,Side-swipe,Side,2,1990,Peak,12.0,21.3,0,0,2,None,Low
PK-2024-00059,2024-12-02,00:24,Balochistan,Khuzdar,Highway,28.9667,66.502,Clear,758,7.9,14.7,Daylight,Icy,Asphalt,2,100,Straight,Uphill,Painted,Yes,2,Car;Truck,17.6,No,46,Yes,Yes,Yes,No,100,None,Signal Violation,Pedestrian,Rear,1,96,Peak,1.0,4.7,0,0,2,Moderate,Medium
PK-2024-00060,2024-07-24,22:03,Islamabad,Islamabad,Highway,35.1737,72.2729,Cloudy,778,28.5,11.1,Dawn-Dusk,Potholed,Concrete,2,50,Straight,Flat,Physical,Yes,2,Motorcycle;Car,4.7,No,52,Yes,Partial,No,No,50,Braking,Signal Violation,Fixed-object,Roof,1,1508,Peak,0.5,8.0,0,0,2,Minor,Low
PK-2024-00061,2024-02-18,14:13,Punjab,Gujranwala,Rural,32.3709,73.7626,Fog,1195,36.3,39.9,Dawn-Dusk,Muddy,Asphalt,3,120,Gentle,Flat,Physical,No,2,Car;Car,3.9,No,30,Yes,Not Applicable,No,No,135,Braking,Drunk Driving,Fixed-object,Front,2,1281,Off-peak,8.4,17.1,1,4,2,Total,Critical
PK-2024-00062,2024-09-22,09:59,Sindh,Larkana,Urban,24.1511,66.929,Clear,508,11.4,22.4,Daylight,Wet,Asphalt,3,80,Gentle,Flat,Painted,Yes,3,Car;Bus;Car,11.7,No,16,Yes,No,No,No,75,Swerving,Speeding,Fixed-object,Rear,1,1203,Peak,5.1,15.8,0,0,1,Minor,Low
PK-2024-00063,2024-05-11,12:59,Punjab,Faisalabad,Residential,30.1982,74.5099,Clear,435,38.0,7.6,Daylight,Muddy,Asphalt,6,60,Sharp,Downhill,Physical,No,1,Auto-rickshaw,17.9,No,23,Yes,Not Applicable,No,No,75,None,Animal Crossing,Rear-end,Front,3,1877,Off-peak,3.6,3.5,0,0,1,None,Low
PK-2024-00064,2024-11-16,23:12,Punjab,Faisalabad,Urban,30.3557,74.0783,Clear,299,38.7,7.4,Street-lit,Wet,Concrete,4,80,Sharp,Flat,None,No,3,Car;Truck;Motorcycle,19.2,No,37,Yes,Yes,No,No,85,Braking,Speeding,Side-swipe,Front,3,387,Peak,10.3,10.7,0,0,2,None,Low
PK-2024-00065,2024-04-25,00:48,Punjab,Faisalabad,Urban,32.24,72.2662,Heavy Rain,589,31.2,16.9,Unlit,Wet,Concrete,6,30,Straight,Flat,Physical,No,3,Truck;Bus;Car,13.2,No,56,Yes,Not Applicable,Yes,No,25,Braking,Signal Violation,Side-swipe,Front,1,929,Peak,1.5,4.2,0,0,1,None,Low
PK-2024-00066,2024-07-27,10:24,Punjab,Gujranwala,Residential,30.7858,73.3932,Heavy Rain,20,41.8,20.6,Street-lit,Construction,Asphalt,2,110,Straight,Uphill,Physical,No,3,Car;Bus;Motorcycle,10.9,No,52,No,Not Applicable,No,Unknown,110,None,Human Error,Side-swipe,Side,1,612,Peak,18.5,28.4,2,3,2,Total,Critical
PK-2024-00067,2024-10-20,17:49,Punjab,Faisalabad,Highway,30.9164,74.4535,Rain,245,26.9,14.8,Dawn-Dusk,Dry,Gravel,6,60,Gentle,Downhill,Painted,No,3,Truck;Car;Auto-rickshaw,9.1,No,47,Yes,Not Applicable,No,No,60,Swerving,Animal Crossing,Pedestrian,Front,1,961,Off-peak,4.7,10.6,0,0,2,Minor,Low
PK-2024-00068,2024-08-23,13:51,KPK,Swat,Urban,34.9726,70.0364,Clear,154,31.3,3.7,Street-lit,Dry,Concrete,4,50,Straight,Uphill,Physical,Yes,4,Bicycle;Auto-rickshaw;Motorcycle;Bus,2.6,No,42,No,No,No,No,65,Swerving,Overloading,Rear-end,Front,2,1945,Peak,1.8,7.1,0,0,0,Minor,Low
PK-2024-00069,2024-07-08,08:40,Sindh,Sukkur,Rural,26.0953,68.5225,Clear,826,21.7,23.7,Unlit,Muddy,Asphalt,3,50,Straight,Downhill,Physical,Yes,2,Car;Motorcycle,11.5,No,41,Yes,Not Applicable,No,No,55,None,Speeding,Rear-end,Side,1,489,Off-peak,36.6,53.1,0,2,2,Minor,Medium
PK-2024-00070,2024-10-26,14:06,Sindh,Sukkur,Rural,25.0599,68.5385,Cloudy,186,19.9,36.8,Daylight,Icy,Asphalt,4,110,Gentle,Downhill,None,Yes,1,Truck,8.4,No,35,Yes,Yes,Yes,No,120,Braking,Speeding,Rollover,Side,1,1873,Peak,14.9,22.8,1,3,3,Severe,Critical
PK-2024-00071,2024-12-18,01:27,KPK,Abbottabad,Urban,33.9495,70.8114,Clear,329,36.2,3.8,Daylight,Dry,Concrete,3,30,Straight,Flat,Physical,No,1,Car,7.1,No,20,Partial,Yes,No,No,70,None,Mechanical Failure,Side-swipe,Front,2,1485,Peak,14.8,22.0,0,0,1,Minor,Low
PK-2024-00072,2024-03-23,09:25,Punjab,Gujranwala,Highway,31.0871,72.003,Cloudy,20,19.0,3.5,Daylight,Dry,Concrete,2,60,Straight,Flat,None,Yes,3,Motorcycle;Truck;Auto-rickshaw,13.9,No,43,No,No,No,No,65,Braking,Wrong Side,Side-swipe,Roof,1,1261,Off-peak,16.3,23.3,0,0,0,Minor,Low
PK-2024-00073,2024-02-09,07:28,Punjab,Faisalabad,Urban,32.0632,72.1034,Clear,343,36.3,16.7,Daylight,Icy,Asphalt,3,120,Straight,Flat,None,No,1,Bicycle,5.7,No,40,Yes,Not Applicable,No,Unknown,125,Swerving,Mobile Phone,Head-on,Roof,1,1423,Peak,1.2,10.7,0,2,1,Minor,Medium
